The Oxford 3000™ (American English)

Index   English            Fr                            
[2044]  printer            imprimante                    
[2045]  printing           impression                    
[2046]  priority           priorité                      
[2047]  prison             prison                        
[2048]  prisoner           prisonnier                    
[2049]  privacy            confidentialité               
[2050]  private            privé                         
[2051]  prize              prix                          
[2052]  probably           probablement                  
[2053]  problem            problème                      
[2054]  procedure          procédure                     
[2055]  process            processus                     
[2056]  produce            produire                      
[2057]  producer           producteur                    
[2058]  product            produit                       
[2059]  production         production                    
[2060]  profession         profession                    
[2061]  professional       professionnel                 
[2062]  professor          professeur                    
[2063]  profile            profil                        
[2064]  profit             profit                        
[2065]  program            programme                     
[2066]  progress           progrès                       
[2067]  project            projet                        
[2068]  promise            promesse                      
[2069]  promote            promouvoir                    
[2070]  pronounce          prononcer                     
[2071]  proof              preuve                        
[2072]  proper             approprié                     
[2073]  properly           correctement                  
[2074]  property           propriété                     
[2075]  proposal           proposition                   
[2076]  propose            proposer                      
[2077]  prospect           perspective                   
[2078]  protect            protéger                      
[2079]  protection         protection                    
[2080]  protest            protestation                  
[2081]  proud              fier                          
[2082]  prove              prouver                       
[2083]  provide            fournir                       
[2084]  psychologist       psychologue                   
[2085]  psychology         psychologie                   
[2086]  public             publique                      
[2087]  publication        publication                   
[2088]  publish            publier                       
[2089]  pull               tirer                         
[2090]  punish             punir                         
[2091]  punishment         punition                      
[2092]  purchase           achat                         
[2093]  pure               pur                           
[2094]  purple             violet                        
[2095]  purpose            but                           
[2096]  pursue             poursuivre                    
[2097]  push               pousser                       
[2098]  put                mettre                        
[2099]  qualification      qualification                 
[2100]  qualified          qualifié                      
[2101]  qualify            qualifier                     
[2102]  quality            qualité                       
[2103]  quantity           quantité                      
[2104]  quarter            quart                         
[2105]  queen              reine                         
[2106]  question           question                      
[2107]  quick              rapide                        
[2108]  quickly            rapidement                    
[2109]  quiet              calme                         
[2110]  quietly            tranquillement                
[2111]  quit               quitter                       
[2112]  quite              assez                         
[2113]  quotation          citation                      
[2114]  quote              citation                      
[2115]  race               course                        
[2116]  race               course                        
[2117]  racing             courses                       
[2118]  radio              radio                         
[2119]  railroad           chemin de fer                 
[2120]  rain               pluie                         
[2121]  raise              augmenter                     
[2122]  range              gamme                         
[2123]  rank               rang                          
[2124]  rapid              rapide                        
[2125]  rapidly            rapidement                    
[2126]  rare               rare                          
[2127]  rarely             rarement                      
[2128]  rate               taux                          
[2129]  rather             plutôt                        
[2130]  raw                brut                          
[2131]  reach              atteindre                     
[2132]  react              réagir                        
[2133]  reaction           réaction                      
[2134]  read               lire                          
[2135]  reader             lecteur                       
[2136]  reading            en lisant                     
[2137]  ready              prêt                          
[2138]  real               réel                          
[2139]  realistic          réaliste                      
[2140]  reality            réalité                       
[2141]  realize            réaliser                      
[2142]  really             vraiment                      
[2143]  reason             raison                        
[2144]  reasonable         raisonnable                   
[2145]  recall             rappel                        
[2146]  receipt            reçu                          
[2147]  receive            recevoir                      
[2148]  recent             récent                        
[2149]  recently           récemment                     
[2150]  reception          réception                     
[2151]  recipe             recette                       
[2152]  recognize          reconnaître                   
[2153]  recommend          recommander                   
[2154]  recommendation     recommandation                
[2155]  record             enregistrer                   
[2156]  recording          enregistrement                
[2157]  recover            récupérer                     
[2158]  recycle            recycler                      
[2159]  red                rouge                         
[2160]  reduce             réduire                       
[2161]  reduction          réduction                     
[2162]  refer              référer                       
[2163]  reference          référence                     
[2164]  reflect            refléter                      
[2165]  refrigerator       réfrigérateur                 
[2166]  refuse             refuser                       
[2167]  regard             égard                         
[2168]  region             région                        
[2169]  regional           régional                      
[2170]  register           registre                      
[2171]  regret             regret                        
[2172]  regular            régulier                      
[2173]  regularly          régulièrement                 
[2174]  regulation         règlement                     
[2175]  reject             rejeter                       
[2176]  relate             se rapporter                  
[2177]  related            en rapport                    
[2178]  relation           relation                      
[2179]  relationship       relation                      
[2180]  relative           relatif                       
[2181]  relatively         relativement                  
[2182]  relax              se détendre                   
[2183]  relaxed            détendu                       
[2184]  relaxing           relaxant                      
[2185]  release            libérer                       
[2186]  relevant           pertinent                     
[2187]  reliable           fiable                        
[2188]  relief             relief                        
[2189]  religion           religion                      
[2190]  religious          religieux                     
[2191]  rely               compter sur                   
[2192]  remain             rester                        
[2193]  remark             remarque                      
[2194]  remember           souviens-toi                  
[2195]  remind             rappeler                      
[2196]  remote             télécommande                  
[2197]  remove             retirer                       
[2198]  rent               louer                         
[2199]  repair             réparation                    
[2200]  repeat             répéter                       
[2201]  repeated           répété                        
[2202]  replace            remplacer                     
[2203]  reply              répondre                      
[2204]  report             rapport                       
[2205]  reporter           journaliste                   
[2206]  represent          représenter                   
[2207]  representative     représentant                  
[2208]  reputation         réputation                    
[2209]  request            demande                       
[2210]  require            exiger                        
[2211]  requirement        exigence                      
[2212]  rescue             sauvetage                     
[2213]  research           recherche                     
[2214]  researcher         chercheur                     
[2215]  reservation        réservation                   
[2216]  reserve            réserve                       
[2217]  resident           résident                      
[2218]  resist             résister                      
[2219]  resolve            résoudre                      
[2220]  resort             station balnéaire             
[2221]  resource           ressource                     
[2222]  respect            respect                       
[2223]  respond            répondre                      
[2224]  response           réponse                       
[2225]  responsibility     responsabilité                
[2226]  responsible        responsable                   
[2227]  rest               repos                         
[2228]  rest               repos                         
[2229]  restaurant         restaurant                    
[2230]  result             résultat                      
[2231]  retain             retenir                       
[2232]  retire             se retirer                    
[2233]  retired            à la retraite                 
[2234]  return             retour                        
[2235]  reveal             révéler                       
[2236]  review             revoir                        
[2237]  revise             réviser                       
[2238]  revolution         révolution                    
[2239]  reward             récompense                    
[2240]  rhythm             rythme                        
[2241]  rice               riz                           
[2242]  rich               riche                         
[2243]  rid                débarrasser                   
[2244]  ride               monter                        
[2245]  right              droite                        
[2246]  ring               anneau                        
[2247]  ring               anneau                        
[2248]  rise               augmenter                     
[2249]  risk               risque                        
[2250]  river              rivière                       
[2251]  road               route                         
[2252]  robot              robot                         
[2253]  rock               rocher                        
[2254]  rock               rocher                        
[2255]  role               rôle                          
[2256]  roll               rouler                        
[2257]  romantic           romantique                    
[2258]  roof               toit                          
[2259]  room               chambre                       
[2260]  root               racine                        
[2261]  rope               corde                         
[2262]  rough              rugueux                       
[2263]  round              rond                          
[2264]  route              itinéraire                    
[2265]  routine            routine                       
[2266]  row                rangée                        
[2267]  royal              royal                         
[2268]  rub                frotter                       
[2269]  rubber             caoutchouc                    
[2270]  rude               grossier                      
[2271]  rule               règle                         
[2272]  run                courir                        
[2273]  runner             coureur                       
[2274]  running            en cours d'exécution          
[2275]  rural              rural                         
[2276]  rush               se précipiter                 
[2277]  sad                triste                        
[2278]  sadly              malheureusement               
[2279]  safe               sûr                           
[2280]  safety             sécurité                      
[2281]  sail               naviguer                      
[2282]  sailing            voile                         
[2283]  sailor             marin                         
[2284]  salad              salade                        
[2285]  salary             salaire                       
[2286]  sale               vente                         
[2287]  salt               sel                           
[2288]  same               même                          
[2289]  sample             échantillon                   
[2290]  sand               sable                         
[2291]  sandwich           sandwich                      
[2292]  satellite          satellite                     
[2293]  satisfied          satisfait                     
[2294]  satisfy            satisfaire                    
[2295]  Saturday           Samedi                        
[2296]  sauce              sauce                         
[2297]  save               sauvegarder                   
[2298]  saving             économie                      
[2299]  say                dire                          
[2300]  scale              échelle                       
[2301]  scan               balayage                      
[2302]  scared             effrayé                       
[2303]  scary              effrayant                     
[2304]  scene              scène                         
[2305]  schedule           calendrier                    
[2306]  school             école                         
[2307]  science            science                       
[2308]  scientific         scientifique                  
[2309]  scientist          scientifique                  
[2310]  score              score                         
[2311]  scream             crier                         
[2312]  screen             écran                         
[2313]  script             scénario                      
[2314]  sculpture          sculpture                     
[2315]  sea                mer                           
[2316]  search             recherche                     
[2317]  season             saison                        
[2318]  seat               siège                         
[2319]  second             deuxième                      
[2320]  number             nombre                        
[2321]  second             deuxième                      
[2322]  secondary          secondaire                    
[2323]  secret             secrète                       
[2324]  secretary          secrétaire                    
[2325]  section            section                       
[2326]  sector             secteur                       
[2327]  secure             sécurisé                      
[2328]  security           sécurité                      
[2329]  see                voir                          
[2330]  seed               graine                        
[2331]  seek               chercher                      
[2332]  seem               sembler                       
[2333]  select             sélectionner                  
[2334]  selection          sélection                     
[2335]  self               soi                           
[2336]  sell               vendre                        
[2337]  senate             sénat                         
[2338]  senator            sénateur                      
[2339]  send               envoyer                       
[2340]  senior             senior                        
[2341]  sense              sens                          
[2342]  sensible           sensible                      
[2343]  sensitive          sensible                      
[2344]  sentence           phrase                        
[2345]  separate           séparé                        
[2346]  September          Septembre                     
[2347]  sequence           séquence                      
[2348]  series             série                         
[2349]  serious            sérieux                       
[2350]  seriously          sérieusement                  
[2351]  servant            serviteur                     
[2352]  serve              servir                        
[2353]  service            service                       
[2354]  session            session                       
[2355]  set                ensemble                      
[2356]  set                ensemble                      
[2357]  setting            paramètre                     
[2358]  settle             régler                        
[2359]  seven              Sept                          
[2360]  seventeen          dix-sept                      
[2361]  seventy            soixante-dix                  
[2362]  several            plusieurs                     
[2363]  severe             grave                         
[2364]  sex                sexe                          
[2365]  sexual             sexuel                        
[2366]  shade              ombre                         
[2367]  shadow             ombre                         
[2368]  shake              secouer                       
[2369]  shall              devoir                        
[2370]  shallow            peu profond                   
[2371]  shame              honte                         
[2372]  shape              forme                         
[2373]  share              partager                      
[2374]  sharp              pointu                        
[2375]  she                elle                          
[2376]  sheep              mouton                        
[2377]  sheet              feuille                       
[2378]  shelf              étagère                       
[2379]  shell              coquille                      
[2380]  shelter            abri                          
[2381]  shift              changement                    
[2382]  shine              briller                       
[2383]  shiny              brillant                      
[2384]  ship               bateau                        
[2385]  shirt              chemise                       
[2386]  shock              choc                          
[2387]  shocked            choqué                        
[2388]  shoe               chaussure                     
[2389]  shoot              tirer                         
[2390]  shooting           tournage                      
[2391]  shop               boutique                      
[2392]  shopping           achats                        
[2393]  short              court                         
[2394]  shot               tir                           
[2395]  should             devrait                       
[2396]  shoulder           épaule                        
[2397]  shout              crier                         
[2398]  show               montrer                       
[2399]  shower             douche                        
[2400]  shut               fermer                        
[2401]  shy                timide                        
[2402]  sick               malade                        
[2403]  side               côté                          
[2404]  sight              vue                           
[2405]  sign               signe                         
[2406]  signal             signal                        
[2407]  significant        significatif                  
[2408]  significantly      de manière significative      
[2409]  silence            silence                       
[2410]  silent             silencieux                    
[2411]  silk               soie                          
[2412]  silly              idiot                         
[2413]  silver             argent                        
[2414]  similar            similaire                     
[2415]  similarity         similarité                    
[2416]  similarly          de la même manière            
[2417]  simple             simple                        
[2418]  simply             simplement                    
[2419]  since              depuis                        
[2420]  sincere            sincère                       
[2421]  sing               chanter                       
[2422]  singer             chanteur                      
[2423]  singing            chant                         
[2424]  single             célibataire                   
[2425]  sink               couler                        
[2426]  sir                Monsieur                      
[2427]  sister             sœur                          
[2428]  sit                s'asseoir                     
[2429]  site               site                          
[2430]  situation          situation                     
[2431]  six                six                           
[2432]  sixteen            seize                         
[2433]  sixty              soixante                      
[2434]  size               taille                        
[2435]  ski                ski                           
[2436]  skiing             ski                           
[2437]  skill              compétence                    
[2438]  skin               peau                          
[2439]  skirt              jupe                          
[2440]  sky                ciel                          
[2441]  slave              esclave                       
[2442]  sleep              dormir                        
[2443]  slice              tranche                       
[2444]  slide              glisser                       
[2445]  slight             léger                         
[2446]  slightly           légèrement                    
[2447]  slip               glisser                       
[2448]  slope              pente                         
[2449]  slow               lent                          
[2450]  slowly             lentement                     
[2451]  small              petit                         
[2452]  smart              intelligent                   
[2453]  smartphone         smartphone                    
[2454]  smell              odeur                         
[2455]  smile              sourire                       
[2456]  smoke              fumée                         
[2457]  smoking            fumeur                        
[2458]  smooth             lisse                         
[2459]  snake              serpent                       
[2460]  sneaker            basket                        
[2461]  snow               neige                         
[2462]  so                 donc                          
[2463]  soap               savon                         
[2464]  soccer             football                      
[2465]  social             sociale                       
[2466]  society            société                       
[2467]  sock               chaussette                    
[2468]  soft               doux                          
[2469]  software           logiciel                      
[2470]  soil               sol                           
[2471]  solar              solaire                       
[2472]  soldier            soldat                        
[2473]  solid              solide                        
[2474]  solution           solution                      
[2475]  solve              résoudre                      
[2476]  some               quelques                      
[2477]  somebody           quelqu'un                     
[2478]  someone            quelqu'un                     
[2479]  something          quelque chose                 
[2480]  sometimes          parfois                       
[2481]  somewhat           quelque peu                   
[2482]  somewhere          quelque part                  
[2483]  son                fils                          
[2484]  song               chanson                       
[2485]  soon               bientôt                       
[2486]  sorry              Désolé                        
[2487]  sort               trier                         
[2488]  soul               âme                           
[2489]  sound              son                           
[2490]  soup               soupe                         
[2491]  source             source                        
[2492]  south              sud                           
[2493]  southern           du sud                        
[2494]  space              espace                        
[2495]  speak              parler                        
[2496]  speaker            conférencier                  
[2497]  special            spécial                       
[2498]  specialist         spécialiste                   
[2499]  species            espèces                       
[2500]  specific           spécifique                    
[2501]  specifically       spécifiquement                
[2502]  speech             discours                      
[2503]  speed              vitesse                       
[2504]  spell              épeler                        
[2505]  spelling           orthographe                   
[2506]  spend              dépenser                      
[2507]  spending           dépenses                      
[2508]  spicy              épicé                         
[2509]  spider             araignée                      
[2510]  spirit             esprit                        
[2511]  spiritual          spirituel                     
[2512]  split              diviser                       
[2513]  spoken             parlé                         
[2514]  sponsor            parrainer                     
[2515]  spoon              cuillère                      
[2516]  sport              sport                         
[2517]  spot               place                         
[2518]  spread             propagé                       
[2519]  spring             printemps                     
[2520]  square             carré                         
[2521]  stable             écurie                        
[2522]  stadium            stade                         
[2523]  staff              personnel                     
[2524]  stage              scène                         
[2525]  stair              marche                        
[2526]  stamp              timbre                        
[2527]  stand              rester                        
[2528]  standard           standard                      
[2529]  star               étoile                        
[2530]  stare              regard                        
[2531]  start              commencer                     
[2532]  state              État                          
[2533]  statement          déclaration                   
[2534]  station            gare                          
[2535]  statistic          statistique                   
[2536]  statue             statue                        
[2537]  status             statut                        
[2538]  stay               rester                        
[2539]  steady             constant                      
[2540]  steal              voler                         
[2541]  steel              acier                         
[2542]  steep              raide                         
[2543]  step               étape                         
[2544]  stick              bâton                         
[2545]  stick              bâton                         
[2546]  sticky             collant                       
[2547]  stiff              rigide                        
[2548]  still              toujours                      
[2549]  stock              action                        
[2550]  stomach            estomac                       
[2551]  stone              pierre                        
[2552]  stop               arrêt                         
[2553]  store              magasin                       
[2554]  storm              tempête                       
[2555]  story              histoire                      
[2556]  stove              poêle                         
[2557]  straight           droit                         
[2558]  strange            étrange                       
[2559]  stranger           étranger                      
[2560]  strategy           stratégie                     
[2561]  stream             flux                          
[2562]  street             rue                           
[2563]  strength           force                         
[2564]  stress             stresser                      
[2565]  stretch            extensible                    
[2566]  strict             strict                        
[2567]  strike             grève                         
[2568]  string             chaîne                        
[2569]  strong             fort                          
[2570]  strongly           fortement                     
[2571]  structure          structure                     
[2572]  struggle           lutte                         
[2573]  student            étudiant                      
[2574]  studio             studio                        
[2575]  study              étude                         
[2576]  stuff              truc                          
[2577]  stupid             stupide                       
[2578]  style              style                         
[2579]  subject            sujet                         
[2580]  submit             soumettre                     
[2581]  substance          substance                     
[2582]  subway             métro                         
[2583]  succeed            réussir                       
[2584]  success            succès                        
[2585]  successful         réussi                        
[2586]  successfully       avec succès                   
[2587]  such               tel                           
[2588]  sudden             soudain                       
[2589]  suddenly           soudainement                  
[2590]  suffer             souffrir                      
[2591]  sugar              sucre                         
[2592]  suggest            suggérer                      
[2593]  suggestion         suggestion                    
[2594]  suit               costume                       
[2595]  suitable           approprié                     
[2596]  sum                somme                         
[2597]  summarize          résumer                       
[2598]  summary            résumé                        
[2599]  summer             été                           
[2600]  sun                soleil                        
[2601]  Sunday             Dimanche                      
[2602]  supermarket        supermarché                   
[2603]  supply             fournir                       
[2604]  support            soutien                       
[2605]  supporter          supporter                     
[2606]  suppose            supposer                      
[2607]  sure               bien sûr                      
[2608]  surely             sûrement                      
[2609]  surface            surface                       
[2610]  surgery            chirurgie                     
[2611]  surprise           surprendre                    
[2612]  surprised          surpris                       
[2613]  surprising         surprenant                    
[2614]  surround           entourer                      
[2615]  surrounding        environnant                   
[2616]  survey             enquête                       
[2617]  survive            survivre                      
[2618]  suspect            suspect                       
[2619]  swear              jurer                         
[2620]  sweater            pull-over                     
[2621]  sweep              balayer                       
[2622]  sweet              doux                          
[2623]  swim               nager                         
[2624]  swimming           natation                      
[2625]  switch             changer                       
[2626]  symbol             symbole                       
[2627]  sympathy           sympathie                     
[2628]  symptom            symptôme                      
[2629]  system             système                       
[2630]  table              tableau                       
[2631]  tablet             comprimé                      
[2632]  tail               queue                         
[2633]  take               prendre                       
[2634]  tale               conte                         
[2635]  talent             talent                        
[2636]  talented           talentueux                    
[2637]  talk               parler                        
[2638]  tall               grand                         
[2639]  tank               réservoir                     
[2640]  tape               ruban adhésif                 
[2641]  target             cible                         
[2642]  task               tâche                         
[2643]  taste              goût                          
[2644]  tax                impôt                         
[2645]  taxi               Taxi                          
[2646]  tea                thé                           
[2647]  teach              enseigner                     
[2648]  teacher            professeur                    
[2649]  teaching           enseignement                  
[2650]  team               équipe                        
[2651]  tear               larme                         
[2652]  tear               larme                         
[2653]  technical          technique                     
[2654]  technique          technique                     
[2655]  technology         technologie                   
[2656]  teenage            adolescent                    
[2657]  teenager           adolescent                    
[2658]  telephone          téléphone                     
[2659]  television         télévision                    
[2660]  tell               dire                          
[2661]  temperature        température                   
[2662]  temporary          temporaire                    
[2663]  ten                dix                           
[2664]  tend               tendre                        
[2665]  tennis             tennis                        
[2666]  tent               tente                         
[2667]  term               terme                         
[2668]  terrible           terrible                      
[2669]  test               test                          
[2670]  text               texte                         
[2671]  than               que                           
[2672]  thank              remercier                     
[2673]  thanks             merci                         
[2674]  that               que                           
[2675]  the                le                            
[2676]  theater            théâtre                       
[2677]  their              leur                          
[2678]  theirs             la leur                       
[2679]  them               eux                           
[2680]  theme              thème                         
[2681]  themselves         eux-mêmes                     
[2682]  then               alors                         
[2683]  theory             théorie                       
[2684]  therapy            thérapie                      
[2685]  there              là                            
[2686]  therefore          donc                          
[2687]  they               ils                           
[2688]  thick              épais                         
[2689]  thief              voleur                        
[2690]  thin               mince                         
[2691]  thing              chose                         
[2692]  think              pense                         
[2693]  thinking           pensée                        
[2694]  third              troisième                     
[2695]  thirsty            soif                          
[2696]  thirteen           treize                        
[2697]  thirty             trente                        
[2698]  this               ce                            
[2699]  though             cependant                     
[2700]  thought            pensée                        
[2701]  thousand           mille                         
[2702]  threat             menace                        
[2703]  threaten           menacer                       
[2704]  three              trois                         
[2705]  throat             gorge                         
[2706]  through            à travers                     
[2707]  throughout         tout au long de               
[2708]  throw              lancer                        
[2709]  Thursday           Jeudi                         
[2710]  thus               ainsi                         
[2711]  ticket             billet                        
[2712]  tie                cravate                       
[2713]  tight              serré                         
[2714]  till               jusqu'à                       
[2715]  time               temps                         
[2716]  tiny               minuscule                     
[2717]  tip                conseil                       
[2718]  tire               pneu                          
[2719]  tired              fatigué                       
[2720]  title              titre                         
[2721]  to                 à                             
[2722]  today              aujourd'hui                   
[2723]  toe                orteil                        
[2724]  together           ensemble                      
[2725]  toilet             toilettes                     
[2726]  tomato             tomate                        
[2727]  tomorrow           demain                        
[2728]  ton                tonne                         
[2729]  tone               tonifier                      
[2730]  tongue             langue                        
[2731]  tonight            ce soir                       
[2732]  too                aussi                         
[2733]  tool               outil                         
[2734]  tooth              dent                          
[2735]  top                haut                          
[2736]  topic              sujet                         
[2737]  total              total                         
[2738]  totally            totalement                    
[2739]  touch              touche                        
[2740]  tough              difficile                     
[2741]  tour               tournée                       
[2742]  tourism            tourisme                      
[2743]  tourist            touristique                   
[2744]  toward             vers                          
[2745]  towel              serviette                     
[2746]  tower              tour                          
[2747]  town               ville                         
[2748]  toy                jouet                         
[2749]  track              piste                         
[2750]  trade              commerce                      
[2751]  tradition          tradition                     
[2752]  traditional        traditionnel                  
[2753]  traffic            trafic                        
[2754]  train              former                        
[2755]  trainer            entraîneur                    
[2756]  training           entraînement                  
[2757]  transfer           transfert                     
[2758]  transform          transformer                   
[2759]  transition         transition                    
[2760]  translate          traduire                      
[2761]  translation        traduction                    
[2762]  transport          transport                     
[2763]  transportation     transport                     
[2764]  trash              poubelle                      
[2765]  travel             voyage                        
[2766]  traveler           voyageur                      
[2767]  treat              traiter                       
[2768]  treatment          traitement                    
[2769]  tree               arbre                         
[2770]  trend              s'orienter                    
[2771]  trial              procès                        
[2772]  trick              astuce                        
[2773]  trip               voyage                        
[2774]  tropical           tropical                      
[2775]  trouble            inquiéter                     
[2776]  truck              camion                        
[2777]  true               vrai                          
[2778]  truly              vraiment                      
[2779]  trust              confiance                     
[2780]  truth              vérité                        
[2781]  try                essayer                       
[2782]  T-shirt            T-shirt                       
[2783]  tube               tube                          
[2784]  Tuesday            Mardi                         
[2785]  tune               régler                        
[2786]  tunnel             tunnel                        
[2787]  turn               tourner                       
[2788]  TV                 TV                            
[2789]  twelve             douze                         
[2790]  twenty             vingt                         
[2791]  twice              deux fois                     
[2792]  twin               double                        
[2793]  two                deux                          
[2794]  type               taper                         
[2795]  typical            typique                       
[2796]  typically          typiquement                   
[2797]  ugly               laid                          
[2798]  ultimately         finalement                    
[2799]  umbrella           parapluie                     
[2800]  unable             incapable                     
[2801]  uncle              oncle                         
[2802]  uncomfortable      inconfortable                 
[2803]  unconscious        inconscient                   
[2804]  under              sous                          
[2805]  underground        souterrain                    
[2806]  understand         comprendre                    
[2807]  understanding      compréhension                 
[2808]  underwear          sous-vêtement                 
[2809]  unemployed         sans emploi                   
[2810]  unemployment       chômage                       
[2811]  unexpected         inattendu                     
[2812]  unfair             injuste                       
[2813]  unfortunately      malheureusement               
[2814]  unhappy            malheureux                    
[2815]  uniform            uniforme                      
[2816]  union              union                         
[2817]  unique             unique                        
[2818]  unit               unité                         
[2819]  united             uni                           
[2820]  universe           univers                       
[2821]  university         université                    
[2822]  unknown            inconnu                       
[2823]  unless             sauf si                       
[2824]  unlike             contrairement à               
[2825]  unlikely           peu probable                  
[2826]  unnecessary        inutile                       
[2827]  unpleasant         désagréable                   
[2828]  until              jusqu'à                       
[2829]  unusual            inhabituel                    
[2830]  up                 en haut                       
[2831]  update             mise à jour                   
[2832]  upon               sur                           
[2833]  upper              supérieur                     
[2834]  upset              bouleversé                    
[2835]  upstairs           à l'étage                     
[2836]  upward             vers le haut                  
[2837]  urban              urbain                        
[2838]  urge               exhorter                      
[2839]  us                 nous                          
[2840]  use                utiliser                      
[2841]  used               utilisé                       
[2842]  used               utilisé                       
[2843]  used               utilisé                       
[2844]  useful             utile                         
[2845]  user               utilisateur                   
[2846]  usual              habituel                      
[2847]  usually            généralement                  
[2848]  vacation           vacances                      
[2849]  valley             vallée                        
[2850]  valuable           précieux                      
[2851]  value              valeur                        
[2852]  van                van                           
[2853]  variety            variété                       
[2854]  various            divers                        
[2855]  vary               varier                        
[2856]  vast               vaste                         
[2857]  vegetable          légume                        
[2858]  vehicle            véhicule                      
[2859]  venue              lieu                          
[2860]  version            version                       
[2861]  very               très                          
[2862]  via                via                           
[2863]  victim             victime                       
[2864]  victory            victoire                      
[2865]  video              vidéo                         
[2866]  view               voir                          
[2867]  viewer             téléspectateur                
[2868]  village            village                       
[2869]  violence           violence                      
[2870]  violent            violent                       
[2871]  virtual            virtuel                       
[2872]  virus              virus                         
[2873]  vision             vision                        
[2874]  visit              visite                        
[2875]  visitor            visiteur                      
[2876]  visual             visuel                        
[2877]  vital              vital                         
[2878]  vitamin            vitamine                      
[2879]  voice              voix                          
[2880]  volume             volume                        
[2881]  volunteer          bénévole                      
[2882]  vote               voter                         
[2883]  wage               salaire                       
[2884]  wait               attendez                      
[2885]  waiter             serveur                       
[2886]  wake               se réveiller                  
[2887]  walk               marcher                       
[2888]  wall               mur                           
[2889]  want               vouloir                       
[2890]  war                guerre                        
[2891]  warm               chaud                         
[2892]  warn               avertir                       
[2893]  warning            avertissement                 
[2894]  wash               laver                         
[2895]  washing            lavage                        
[2896]  waste              déchets                       
[2897]  watch              montre                        
[2898]  water              eau                           
[2899]  wave               vague                         
[2900]  way                chemin                        
[2901]  we                 nous                          
[2902]  weak               faible                        
[2903]  weakness           faiblesse                     
[2904]  wealth             richesse                      
[2905]  wealthy            riche                         
[2906]  weapon             arme                          
[2907]  wear               porter                        
[2908]  weather            météo                         
[2909]  web                web                           
[2910]  website            site web                      
[2911]  wedding            mariage                       
[2912]  Wednesday          Mercredi                      
[2913]  week               semaine                       
[2914]  weekend            fin de semaine                
[2915]  weigh              peser                         
[2916]  weight             poids                         
[2917]  welcome            accueillir                    
[2918]  well               Bien                          
[2919]  west               Ouest                         
[2920]  western            occidental                    
[2921]  wet                mouillé                       
[2922]  what               quoi                          
[2923]  whatever           peu importe                   
[2924]  wheel              roue                          
[2925]  when               quand                         
[2926]  whenever           chaque fois que               
[2927]  where              où                            
[2928]  whereas            alors que                     
[2929]  wherever           partout où                    
[2930]  whether            si                            
[2931]  which              lequel                        
[2932]  while              alors que                     
[2933]  whisper            chuchoter                     
[2934]  white              blanc                         
[2935]  who                OMS                           
[2936]  whole              entier                        
[2937]  whom               qui                           
[2938]  whose              dont                          
[2939]  why                pourquoi                      
[2940]  wide               large                         
[2941]  widely             largement                     
[2942]  wife               épouse                        
[2943]  wild               sauvage                       
[2944]  wildlife           faune                         
[2945]  will               volonté                       
[2946]  willing            disposé                       
[2947]  win                gagner                        
[2948]  wind               vent                          
[2949]  wind               vent                          
[2950]  window             fenêtre                       
[2951]  wine               vin                           
[2952]  wing               aile                          
[2953]  winner             gagnant                       
[2954]  winter             hiver                         
[2955]  wire               fil                           
[2956]  wise               sage                          
[2957]  wish               souhait                       
[2958]  with               avec                          
[2959]  within             dans                          
[2960]  without            sans                          
[2961]  witness            témoin                        
[2962]  woman              femme                         
[2963]  wonder             merveille                     
[2964]  wonderful          merveilleux                   
[2965]  wood               bois                          
[2966]  wooden             en bois                       
[2967]  wool               laine                         
[2968]  word               mot                           
[2969]  work               travail                       
[2970]  worker             travailleur                   
[2971]  working            fonctionnement                
[2972]  world              monde                         
[2973]  worldwide          mondial                       
[2974]  worried            inquiet                       
[2975]  worry              inquiétude                    
[2976]  worse              pire                          
[2977]  worst              pire                          
[2978]  worth              valeur                        
[2979]  would              serait                        
[2980]  wound              blesser                       
[2981]  wow                Ouah                          
[2982]  wrap               envelopper                    
[2983]  write              écrire                        
[2984]  writer             écrivain                      
[2985]  writing            en écrivant                   
[2986]  written            écrit                         
[2987]  wrong              faux                          
[2988]  yard               cour                          
[2989]  yeah               Ouais                         
[2990]  year               année                         
[2991]  yellow             jaune                         
[2992]  yes                Oui                           
[2993]  yesterday          hier                          
[2994]  yet                encore                        
[2995]  you                toi                           
[2996]  young              jeune                         
[2997]  your               ton                           
[2998]  yours              le vôtre                      
[2999]  yourself           toi-même                      
[3000]  youth              jeunesse                      
[3001]  zero               zéro                          
[3002]  zone               zone                          
